,ID,Country,Date Start,Date end intended,Description of measure implemented,Implementing State/Province,Keywords,Target region,education_closure,outdoor_gatherings_banned,sports cancellation,compulsory isolation,international travel ban,business suspension,blanket isolation,blanket curfew,social distancing
1120,,US:Maryland,2020-03-19,,governor Hogan announced that all shopping centers and entertainment venues were to close as of 5 p.m. that day,,general nonessential business suspension,,,,,,,1.0,,,
1122,,US:Maryland,2020-03-16,,all 24 public library systems in the state were shut down for a two-week period.,,limited nonessential business suspension,,,,,,,1.0,,,
1141,,Hungary,2020-03-17,,"PM Orbán said all events in Hungary will be banned starting at midnight on Monday, adding that sporting events should be held behind closed doors unless the organizers cancel those events altogether. Shops are not allowed to remain open beyond 3 p.m., excluding food stores and pharmacies. this regulation does not yet apply to the services sector – such as nail parlors, hairdressers and gymnasiums",,limited nonessential business suspension,,,,,,,1.0,,,
1156,,Netherlands,2020-03-23,,"Services which involve direct contact with others, such as hairdressers and nail bars, are closed until April 6. Casinos are also being closed down",,limited nonessential business suspension,,,,,,,1.0,,,
1273,,US:New Jersey,2020-03-16,,"All bars, casinos, gyms, movie theaters, and restaurants were closed indefinitely on the 16th at 8 p.m., though bars and restaurants were allowed to remain open for delivery or takeout only",,"limited nonessential business suspension, restaurant limitations",,,,,,,1.0,,,
1276,,US:New Jersey,2020-03-17,,"Governor Murphy said that as of 8 p.m. on the 17th, all of the state's amusement centers, amusement parks, and shopping malls would be closed indefinitely",,limited nonessential business suspension,,,,,,,1.0,,,
1293,,US:New Jersey,2020-03-19,,"Murphy ordered all personal care businesses that could not maintain proper social distancing to close by 8 p.m. on the 19th; these businesses included barbershops, hair salons, nail salons, spas, and tattoo parlors",,limited nonessential business suspension,,,,,,,1.0,,,
1297,,Serbia,2020-03-21,,All business in shopping malls was prohibited except for grocery stores and pharmacies,,general nonessential business suspension,,,,,,,1.0,,,
1339,,Kazakhstan,2020-03-17,,"Also, all stores and shopping malls in the two major cities will be closed and only grocery and drug stores will be allowed to operate during the quarantine.",,general nonessential business suspension,,,,,,,1.0,,,
1355,,Cyprus,2020-03-24,2020-04-13,"All retailers shall suspend their operations, except from the businesses that are included in
the Decree issued by the Minister of Health",,general nonessential business suspension,,,,,,,1.0,,,
1358,,Cyprus,2020-03-24,,"→Open markets, bazaars and itinerant sales are prohibited.",,limited nonessential business suspension,,,,,,,1.0,,,
1381,,Iraq,2020-02-27,,Cinemas closed,,limited nonessential business suspension,,,,,,,1.0,,,
1382,,Germany,2020-03-22,2020-04-05,Restaurants and services like hairdressers were to be closed,,limited nonessential business suspension,,,,,,,1.0,,,
1383,,US:New Jersey,2020-03-19,,Governor Murphy announced a statewide stay-at-home order that all non-essential businesses in the state would be closed indefinitely by 9 p.m. on the 21st. The state's libraries were also closed. Police academies were closed until April,,"blanket isolation - no symptoms, general nonessential business suspension, social distancing",,,,,,,1.0,,,
1443,,US:Alabama,2020-03-27,2020-04-17,"all ""non-essential businesses"" in the state were ordered to be closed until April 17,",,general nonessential business suspension,,,,,,,1.0,,,
1476,,Ireland,2020-03-27,2020-04-12,"More non-essential shops and services will be closed, adult community education centers and local community centres will be shut.",,limited nonessential business suspension,,,,,,,1.0,,,
1508,,Iceland,2020-03-24,,"closed, as did any businesses requiring a proximity of less than 2 m (hairdressers, tattoo artists, etc.).",,general nonessential business suspension,,,,,,,1.0,,,
1511,,Belgium,2020-03-17,,"non-essential shops to close,",,general nonessential business suspension,,,,,,,1.0,,,
1563,,US:Colorado,2020-03-23,2020-04-30,"closure of ""nonessential"" businesses",,general nonessential business suspension,,,,,,,1.0,,,
1581,,US: Massachussets,2020-03-23,,Nonessential businesses are ordered to close physical workplaces.,,general nonessential business suspension,,,,,,,1.0,,,
1612,,Brazil,2020-03-19,,"The following day, the government of Rio Grande do Sul declared a public calamity situation. Among the measures adopted are the prohibition of interstate travel and the restriction of items purchased in the markets.",,"domestic travel limitation, limited nonessential business suspension",,,,,,,1.0,,,
1615,,Brazil,2020-03-21,,"The governor of São Paulo, João Doria (PSDB), recommended closing the shopping centers and gyms in the metropolitan region. In addition, classes in public and private schools are also being suspended.",São Paulo,limited nonessential business suspension,,,,,,,1.0,,,
1643,,US:Iowa,2020-03-26,,"closure of more retail establishments including, bookstores; clothing and shoe stores; jewelry stores; luggage stores; cosmetic, perfume and beauty supply stores; furniture stores; florists; and home furnishing stores. All will close through April 7.",,limited nonessential business suspension,,,,,,,1.0,,,
1658,,US:Kentucky,2020-03-26,,all non-life-sustaining businesses must cease all in-person services,,general nonessential business suspension,,,,,,,1.0,,,
1660,,US:Kentucky,2020-03-23,,"all in-person retail businesses that are not life-sustaining will close effective Monday, March 23",,limited nonessential business suspension,,,,,,,1.0,,,
1682,,US: Rhode Island,2020-03-22,2020-04-13,"The state orders all entertainment and recreation businesses, barber shops, hair salons, and tattoo shops to close",,general nonessential business suspension,,,,,,,1.0,,,
3,372,United Kingdom,2020-03-16,,"If one person in any household has a persistent cough or fever, everyone living there must stay at home for 14 days",,blanket isolation - symptoms,,,,,,,,1.0,,
69,417,San Marino,2020-03-14,2020-04-06,the Government ordered a nationwide quarantine,,blanket isolation - no symptoms,,,,,,,,2.0,,
162,26,China,2020-02-01,,"Huanggang implements a much stricter control, allowing only one person from each household every two days to be on the street for purchases, unless for medically-related reasons, required for epidemic control, or as shop workers.",Hubei,"blanket isolation - no symptoms, compulsory isolation",,,,,1.0,,,2.0,,
173,37,China,2020-02-02,2020-02-08,"Wenzhou, Zhejiang announces implementing the same measure as Huanggang, where every household may send one person every two days outside for purchases, from 00:00 on 2 February to 24:00 on 8 February.",Zheijang,"blanket isolation - no symptoms, compulsory isolation",,,,,1.0,,,2.0,,
215,74,China,2020-02-13,,"Wuhan enacts a new rule prohibiting people from leaving their neighbourhoods for non-medical reasons, updating the curfew to a full lockdown",Hubei,"blanket isolation - no symptoms, compulsory isolation",,,,,1.0,,,2.0,,
233,93,China,2020-02-15,,"Jingmen, Hubei escalated control, prohibiting outside vehicles and persons from entering its central districts except for medical and living supplies,",Hubei,"blanket isolation - no symptoms, compulsory isolation",,,,,1.0,,,2.0,,
242,102,China,2020-02-17,,"Following its announcement the previous night, Xiaogan now bans all its urban residents from leaving home, all its rural residents from wandering, visiting neighbours, and gathering, and all vehicles from roads. Exceptions are made for medical reasons, medical staff, providers of medical and living provision, pregnancies, deaths, essential vehicles, and others granted permissions. Violators would be subject to up to 10 days of detention and put on the dishonest list.",Hubei,"blanket isolation - no symptoms, compulsory isolation",,,,,1.0,,,2.0,,
294,165,Spain,2020-03-14,,"Spain impose nationwide lockdown (all stores except groceries and pharmacies). According to the government decree, people will only be allowed to leave their homes to buy food and medicine, commute to work, go to medical centers and banks, or take trips related to the care for the young and the elderly.",,"blanket isolation - no symptoms, general nonessential business suspension",,,,,,,1.0,2.0,,
304,176,Austria,2020-03-15,2020-03-22,"In addition, Günther Platter, the governor of Tyrol, announced a one-week lockdown for the whole province. The provincial governor, Guenther Platter, announced Sunday that people will be allowed to leave their homes only for reasons such as buying food and medicine, visiting the doctor, getting cash or walking the dog.",Tyrol,blanket isolation - no symptoms,,,,,,,,2.0,,
391,266,France,2020-03-17,2020-03-31,"President Emmanuel Macron commanded the French to stay at home for at least 15 days. Only trips to supermarkets, pharmacies and places of work will be allowed and all workers have been told to work from home where possible.",,"blanket isolation - no symptoms, compulsory isolation",,,,,1.0,,,2.0,,
467,354,Vatican City,2020-03-10,,Italy lockdown measures are also applied to the Vatican City.,,"blanket isolation - no symptoms, religious activity limitations, social distancing",,,,,,,,2.0,,
505,395,United States,2020-03-16,2020-04-06,Shelter in place order issued for the Bay Area. Exceptions for necessary services and taking walks while staying at least 6 feet from other residents,California,blanket isolation - no symptoms,,,,,,,,2.0,,
600,575,Belgium,2020-03-18,2020-04-05,"Residents in Belgium will only be allowed to leave their homes for essential reasons, such as food shopping, health-related errands or assisting someone in need.",,blanket isolation - no symptoms,,,,,,,,2.0,,
649,632,US:California,2020-02-22,,statewide order to stay at home,,blanket isolation - no symptoms,,,,,,,,2.0,,
770,745,Italy,2020-03-07,,"In the night between 7 and 8 March, the government approved a decree to lock down Lombardy and 14 other provinces in Veneto, Emilia-Romagna, Piedmont and Marche, involving more than 16 million people.",,blanket isolation - no symptoms,"Emilia-Romagna, Lombardy, Marche, Piedmont, Veneto",,,,,,,2.0,,
776,756,Italy,2020-03-20,,"On 20 March, the Ministry of Health ordered tighter regulations on free movement. The new measures banned open-air sports and running, except individually and in close proximity of one's residence. Parks, playgrounds and public green were closed down. Furthermore, movement across the country was further restricted, by banning ""any movement towards a residence different from the main one"", including holiday homes, during weekends and holidays",,"blanket isolation - no symptoms, compulsory isolation, domestic travel ban, outdoor gatherings banned, public green closure, sports cancellation",,,1.0,1.0,1.0,,,2.0,,
871,826,Bulgaria,2020-03-17,,Bansko became the first town in the country to be put under quarantine,,blanket isolation - no symptoms,,,,,,,,2.0,,
1060,,China,2020-02-02,2020-02-08,"On 1 February Huanggang, Hubei implemented a measure whereby only one person from each household is permitted to go outside for provisions once every two days, except for medical reasons or to work at shops or pharmacies. Many cities, districts, and counties across mainland China implemented similar measures in the days following, including Wenzhou, Hangzhou, Fuzhou, Harbin, and the whole of Jiangxi Province.",Guangxi,"blanket isolation - no symptoms, compulsory isolation",,,,,1.0,,,2.0,,
1061,,China,2020-02-03,2020-02-09,"On 1 February Huanggang, Hubei implemented a measure whereby only one person from each household is permitted to go outside for provisions once every two days, except for medical reasons or to work at shops or pharmacies. Many cities, districts, and counties across mainland China implemented similar measures in the days following, including Wenzhou, Hangzhou, Fuzhou, Harbin, and the whole of Jiangxi Province.",Shaanxi,"blanket isolation - no symptoms, compulsory isolation",,,,,1.0,,,2.0,,
1062,,China,2020-02-03,,"On 1 February Huanggang, Hubei implemented a measure whereby only one person from each household is permitted to go outside for provisions once every two days, except for medical reasons or to work at shops or pharmacies. Many cities, districts, and counties across mainland China implemented similar measures in the days following, including Wenzhou, Hangzhou, Fuzhou, Harbin, and the whole of Jiangxi Province.",Shandong,"blanket isolation - no symptoms, compulsory isolation",,,,,1.0,,,2.0,,
1063,,China,2020-02-04,,"On 1 February Huanggang, Hubei implemented a measure whereby only one person from each household is permitted to go outside for provisions once every two days, except for medical reasons or to work at shops or pharmacies. Many cities, districts, and counties across mainland China implemented similar measures in the days following, including Wenzhou, Hangzhou, Fuzhou, Harbin, and the whole of Jiangxi Province.",Hubei,"blanket isolation - no symptoms, compulsory isolation",,,,,1.0,,,2.0,,
1064,,China,2020-02-03,,"On 1 February Huanggang, Hubei implemented a measure whereby only one person from each household is permitted to go outside for provisions once every two days, except for medical reasons or to work at shops or pharmacies. Many cities, districts, and counties across mainland China implemented similar measures in the days following, including Wenzhou, Hangzhou, Fuzhou, Harbin, and the whole of Jiangxi Province.",Zheijang,"blanket isolation - no symptoms, compulsory isolation",,,,,1.0,,,2.0,,
1065,,China,2020-02-04,,"On 1 February Huanggang, Hubei implemented a measure whereby only one person from each household is permitted to go outside for provisions once every two days, except for medical reasons or to work at shops or pharmacies. Many cities, districts, and counties across mainland China implemented similar measures in the days following, including Wenzhou, Hangzhou, Fuzhou, Harbin, and the whole of Jiangxi Province.",Fujian,"blanket isolation - no symptoms, compulsory isolation",,,,,1.0,,,2.0,,
1066,,China,2020-02-04,,"On 1 February Huanggang, Hubei implemented a measure whereby only one person from each household is permitted to go outside for provisions once every two days, except for medical reasons or to work at shops or pharmacies. Many cities, districts, and counties across mainland China implemented similar measures in the days following, including Wenzhou, Hangzhou, Fuzhou, Harbin, and the whole of Jiangxi Province.",Henan,"blanket isolation - no symptoms, compulsory isolation",,,,,1.0,,,2.0,,
1067,,China,2020-02-04,,"On 1 February Huanggang, Hubei implemented a measure whereby only one person from each household is permitted to go outside for provisions once every two days, except for medical reasons or to work at shops or pharmacies. Many cities, districts, and counties across mainland China implemented similar measures in the days following, including Wenzhou, Hangzhou, Fuzhou, Harbin, and the whole of Jiangxi Province.",Jiangsu,"blanket isolation - no symptoms, compulsory isolation",,,,,1.0,,,2.0,,
1068,,China,2020-02-04,2020-02-06,"On 1 February Huanggang, Hubei implemented a measure whereby only one person from each household is permitted to go outside for provisions once every two days, except for medical reasons or to work at shops or pharmacies. Many cities, districts, and counties across mainland China implemented similar measures in the days following, including Wenzhou, Hangzhou, Fuzhou, Harbin, and the whole of Jiangxi Province.",Jiangxi,"blanket isolation - no symptoms, compulsory isolation",,,,,1.0,,,2.0,,
1069,,China,2020-02-04,,"On 1 February Huanggang, Hubei implemented a measure whereby only one person from each household is permitted to go outside for provisions once every two days, except for medical reasons or to work at shops or pharmacies. Many cities, districts, and counties across mainland China implemented similar measures in the days following, including Wenzhou, Hangzhou, Fuzhou, Harbin, and the whole of Jiangxi Province.",Heilongjiang,"blanket isolation - no symptoms, compulsory isolation",,,,,1.0,,,2.0,,
1070,,China,2020-02-05,,"On 1 February Huanggang, Hubei implemented a measure whereby only one person from each household is permitted to go outside for provisions once every two days, except for medical reasons or to work at shops or pharmacies. Many cities, districts, and counties across mainland China implemented similar measures in the days following, including Wenzhou, Hangzhou, Fuzhou, Harbin, and the whole of Jiangxi Province.",Jiangsu,"blanket isolation - no symptoms, compulsory isolation",,,,,1.0,,,2.0,,
1071,,China,2020-02-05,,"On 1 February Huanggang, Hubei implemented a measure whereby only one person from each household is permitted to go outside for provisions once every two days, except for medical reasons or to work at shops or pharmacies. Many cities, districts, and counties across mainland China implemented similar measures in the days following, including Wenzhou, Hangzhou, Fuzhou, Harbin, and the whole of Jiangxi Province.",Zheijang,"blanket isolation - no symptoms, compulsory isolation",,,,,1.0,,,2.0,,
1072,,China,2020-02-05,,"On 1 February Huanggang, Hubei implemented a measure whereby only one person from each household is permitted to go outside for provisions once every two days, except for medical reasons or to work at shops or pharmacies. Many cities, districts, and counties across mainland China implemented similar measures in the days following, including Wenzhou, Hangzhou, Fuzhou, Harbin, and the whole of Jiangxi Province.",Anhui,"blanket isolation - no symptoms, compulsory isolation",,,,,1.0,,,2.0,,
1073,,China,2020-02-05,,"On 1 February Huanggang, Hubei implemented a measure whereby only one person from each household is permitted to go outside for provisions once every two days, except for medical reasons or to work at shops or pharmacies. Many cities, districts, and counties across mainland China implemented similar measures in the days following, including Wenzhou, Hangzhou, Fuzhou, Harbin, and the whole of Jiangxi Province.",Liaoning,"blanket isolation - no symptoms, compulsory isolation",,,,,1.0,,,2.0,,
1074,,China,2020-02-06,,"On 1 February Huanggang, Hubei implemented a measure whereby only one person from each household is permitted to go outside for provisions once every two days, except for medical reasons or to work at shops or pharmacies. Many cities, districts, and counties across mainland China implemented similar measures in the days following, including Wenzhou, Hangzhou, Fuzhou, Harbin, and the whole of Jiangxi Province.",Jiangxi,"blanket isolation - no symptoms, compulsory isolation",,,,,1.0,,,2.0,,
1075,,China,2020-02-05,,"On 1 February Huanggang, Hubei implemented a measure whereby only one person from each household is permitted to go outside for provisions once every two days, except for medical reasons or to work at shops or pharmacies. Many cities, districts, and counties across mainland China implemented similar measures in the days following, including Wenzhou, Hangzhou, Fuzhou, Harbin, and the whole of Jiangxi Province.",Guangxi,"blanket isolation - no symptoms, compulsory isolation",,,,,1.0,,,2.0,,
1076,,China,2020-02-05,,"On 1 February Huanggang, Hubei implemented a measure whereby only one person from each household is permitted to go outside for provisions once every two days, except for medical reasons or to work at shops or pharmacies. Many cities, districts, and counties across mainland China implemented similar measures in the days following, including Wenzhou, Hangzhou, Fuzhou, Harbin, and the whole of Jiangxi Province.",Sichuan,"blanket isolation - no symptoms, compulsory isolation",,,,,1.0,,,2.0,,
1077,,China,2020-02-06,,"On 1 February Huanggang, Hubei implemented a measure whereby only one person from each household is permitted to go outside for provisions once every two days, except for medical reasons or to work at shops or pharmacies. Many cities, districts, and counties across mainland China implemented similar measures in the days following, including Wenzhou, Hangzhou, Fuzhou, Harbin, and the whole of Jiangxi Province.",Liaoning,"blanket isolation - no symptoms, compulsory isolation",,,,,1.0,,,2.0,,
1078,,China,2020-02-06,,"On 1 February Huanggang, Hubei implemented a measure whereby only one person from each household is permitted to go outside for provisions once every two days, except for medical reasons or to work at shops or pharmacies. Many cities, districts, and counties across mainland China implemented similar measures in the days following, including Wenzhou, Hangzhou, Fuzhou, Harbin, and the whole of Jiangxi Province.",Shaanxi,"blanket isolation - no symptoms, compulsory isolation",,,,,1.0,,,2.0,,
1080,,China,2020-02-06,,"On 1 February Huanggang, Hubei implemented a measure whereby only one person from each household is permitted to go outside for provisions once every two days, except for medical reasons or to work at shops or pharmacies. Many cities, districts, and counties across mainland China implemented similar measures in the days following, including Wenzhou, Hangzhou, Fuzhou, Harbin, and the whole of Jiangxi Province.",Jilin,"blanket isolation - no symptoms, compulsory isolation",,,,,1.0,,,2.0,,
1144,,Hungary,2020-03-20,,People displaying mild symptoms must stay in home quarantine,,blanket isolation - symptoms,,,,,,,,1.0,,
1154,,Netherlands,2020-03-23,,"If any member of a family is ill, the entire family should stay home, apart from people in an essential profession.",,blanket isolation - symptoms,,,,,,,,1.0,,
1234,,Singapore,2020-02-14,,Doctors advised to give 5 days MC to all patients with respiratory symtoms,,blanket isolation - symptoms,,,,,,,,1.0,,
1383,,US:New Jersey,2020-03-19,,Governor Murphy announced a statewide stay-at-home order that all non-essential businesses in the state would be closed indefinitely by 9 p.m. on the 21st. The state's libraries were also closed. Police academies were closed until April,,"blanket isolation - no symptoms, general nonessential business suspension, social distancing",,,,,,,1.0,2.0,,
1635,,US:Hawaii,2020-03-25,2020-04-30,Statewide Stay-at-Home Order,,blanket isolation - no symptoms,,,,,,,,2.0,,
1653,,US:Kansas,2020-03-30,,issued a statewide stay-at-home order,,blanket isolation - no symptoms,,,,,,,,2.0,,
1667,,US:Louisiana,2020-03-23,,Stay-at-home order,,blanket isolation - no symptoms,,,,,,,,2.0,,
82,,Slovenia,2020-03-20,,"Slovenia enforced a ban on all kinds of public gatherings from midnight on Friday (20 March), with only essential trips outside allowed, including work or going to the nearest shop, pharmacy or doctor. Violations will entail a 400 euro fine",,"blanket curfew - no symptoms, compulsory isolation",,,,,1.0,,,,1.0,
219,78,Italy,2020-03-08,,avoiding moves from place of residence,,blanket curfew - no symptoms,,,,,,,,,1.0,
566,455,Serbia,2020-03-18,,"As of Wednesday morning at ten o'clock, in all urban areas, it is absolutely forbidden to enter the street for persons older than 65 years and in the countryside for persons older than 70 years. From 8 pm to 5 am no one should be on the street except the competent authorities on the assignment and those who have a third shift job",,"blanket curfew - no symptoms, elderly",,,,,,,,,1.0,
743,,Germany,2020-03-20,,"Bavaria was the first state to declare a curfew, inspired by and identical to Austria. People can only go outdoors alone or with their family. It would remain permitted to go to work as well as to supermarkets, drug stores, medics and pharmacies, under the condition that the trip is solitary or with housemates. Under the same condition, it is also permitted to do sports outside; to visit the life partner or aged, sick or disabled people that do not live in an institution; and to help others in general or provide for animals. Restaurants except drive-ins and for take-away, DIY stores and hairdressers would be shut down",Bavaria,blanket curfew - no symptoms,,,,,,,,,1.0,
747,,Germany,2020-03-22,,"Saxony joined Bavaria and the Saarland in prohibiting residents from leaving their dwellings except for good reasons, which are similar to the ones in the other two states; outdoor exercise is permitted under the new rules only alone or in groups of maximal five members of the same household","Bavaria, Saarland, Saxony",blanket curfew - no symptoms,,,,,,,,,1.0,
811,790,Albania,2020-03-13,,"From 13 March, Albania implemented a hardening of its lockdown in major cities across the country, including Tirana, over the weekend until Sunday at midnight. Roads connecting major cities are also closed. Foreign nationals that need to go to the airport must receive written permission from the police to use the roads. All public facilities at the airport are closed including restaurants and bars.",,"blanket curfew - no symptoms, domestic travel ban",,,,,,,,,1.0,
895,,Palestine,2020-03-22,2020-04-05,"Prime Minister Shtayyeh announced a ban for 2 more weeks on movement between and inside of Palestinian cities for two weeks as of 10:00 PM with the exception of health facilities, pharmacies, bakeries, and grocery stores.",,blanket curfew - no symptoms,,,,,,,,,1.0,
901,,US:Georgia,2020-03-20,,curfew from 9PM to 7AM (unless medical or other urgent reasons),,blanket curfew - no symptoms,,,,,,,,,1.0,
1011,881,Greece,2020-03-23,2020-04-06,"On 22 March, the Greek government announced a ban on all nonessential transport and movement across the country, starting from 6 a.m on 23 March until 6 April. Movement is permitted only for a prescribed set of reasons that include moving to or from the workplace during normal business hours, shopping for food or medicine, visiting a doctor or assisting a person in need of help, exercising out individually or in pairs or walking a pet, attending a ceremony (wedding, baptism, funeral etc), and cases of divorced parents moving to ensure communication with their children. People returning to their permanent places of residence will also be exempt. Citizens leaving their home are required to carry their ID or passport with them, as well as some type of certification explaining the reason for their movement which has to be confirmed by their employer or by themselves. The options include filling in a special form that can be downloaded from the government website http://forma.gov.gr/, sending a free SMS to the number 13033, or explaining their reason in a signed handwritten declaration. The information needed include the name, home address, time of departure from home, and the specific reason for transport that falls under one of the exceptions. Members of the government and parliament as well as all Health, Civil Protection, Law Enforcement and Armed Forces personnel were excluded from the measure. The Hellenic Police, the Municipal Police, the Hellenic Coast Guard and the National Transparency Authority are enforced to implement the restrictions and issue fines of 150 euros for each offense.",,"blanket curfew - no symptoms, domestic travel ban",,,,,,,,,1.0,
1027,,US: Illinois,2020-03-21,,all individuals currently living within the State of Illinois are ordered to stay at home or at their place of residence,,"blanket curfew - no symptoms, social distancing",,,,,,,,,1.0,
1047,,US: Indiana,2020-03-25,2020-05-07,all individuals currently living within the State of Indiana are ordered to stay at home or at their place of residence,,blanket curfew - no symptoms,,,,,,,,,1.0,
1152,,Netherlands,2020-03-23,,"People should remain home unless they have to go out to work, to do shopping or to care for other people. You can go out for a walk to get some fresh air, but not in a group. Keep 1.5 metres away from other people. No more than three people should visit in your home at the same time, and only then if they can keep 1.5 metres apart",,blanket curfew - no symptoms,,,,,,,,,1.0,
1158,,Poland,2020-03-25,2020-04-11,"Non-essential travel was prohibited, with exception for travelling to work or home, SARS-CoV-2 control related activities, or ""necessary everyday activities"". Everyday activities qualifying as ""necessary"" included shopping, buying medicines, visiting doctors, walking dogs, jogging, cycling and walking, provided that no more than two people participate contact with others is avoided. The restrictions were initially defined for the period from 25 March to 11 April inclusive.",,"blanket curfew - no symptoms, domestic travel ban",,,,,,,,,1.0,
1171,,United Kingdom,2020-03-23,2020-04-13,"On the evening of 23 March, Prime Minister Boris Johnson announced in a television broadcast that measures to mitigate the virus were to be tightened further, with wide-ranging restrictions made on freedom of movement, enforceable in law,[28] for a planned ""lockdown"" period intended to last for at least three weeks. The government directed people to stay at home throughout this period except for essential purchases, essential work travel (if remote work is not possible), medical needs, one exercise per-day (alone or with members of their household), and providing care for others.[107] Many other non-essential activities, including all public gatherings and social events except funerals, are prohibited, with many categories of retail businesses ordered to be closed.",,blanket curfew - no symptoms,,,,,,,,,1.0,
1277,,US:New Jersey,2020-03-14,,"On March 14, the mayor of Hoboken declared a mandatory nightly curfew",,blanket curfew - no symptoms,,,,,,,,,1.0,
1377,,South Africa,2020-03-26,2020-04-16,"On 23 March, President Cyril Ramaphosa addressed the nation and announced a 21-day national lockdown effective from midnight 26 March through to 16 April",,blanket curfew - no symptoms,,,,,,,,,1.0,
1402,,US:New York,2020-03-20,,Governor Cuomo announced the statewide stay-at-home order with a mandate that all non-essential workers work from home,,blanket curfew - no symptoms,,,,,,,,,1.0,
1423,,,2020-03-20,,"declaring a state of emergency and limiting the movement of citizens, by requiring that people can only leave their homes if they are provided with an official document from state officials, in some to specific cases.",,blanket curfew - no symptoms,,,,,,,,,1.0,
1452,,US:Alaska,2020-03-28,,"all persons in Alaska, except for those engaged in essential health care services, public government services, and essential business activities, are mandated to remain at their place of residence and practice social distancing",,blanket curfew - no symptoms,,,,,,,,,1.0,
1467,,Bosnia and Herzegovina,2020-03-22,,"On 21 March 2020, a curfew was introduced for the entire Federation of Bosnia and Herzegovina every day from 18:00 until 05:00, and its implementation started on 22 March 2020.[70] On 29 March 2020, time for curfew was changed to 20:00 until 05:00.[66]",Federation of Bosnia and Herzegovina,blanket curfew - no symptoms,,,,,,,,,1.0,
1472,,Bosnia and Herzegovina,2020-03-22,,curfew was introduced in entire Brčko District every day from 21:00 until 05:00.,Brčko District,blanket curfew - no symptoms,,,,,,,,,1.0,
1474,,Ireland,2020-03-27,2020-04-12,"On 27 March the government announced people must stay at home until 12 April from the following midnight with the following exemptions:
to travel to and from work (where work is essential);
shopping for food or household goods
to attend medical appointments or collect medicines or related products
for vital family reasons, such as caring for a relative
to take brief exercise within 2km of home
farming purposes, such as food production or care of animals",,blanket curfew - no symptoms,,,,,,,,,1.0,
1490,,Finland,2020-03-28,,"On 27 March the Parliament voted unanimously to close the borders of the Uusimaa region, which has the most confirmed cases, in hopes of slowing down the epidemic in the rest of the country. The restriction came into force the following midnight. Uusimaa has 1.7 million inhabitants, nearly one third of Finland's total population, and contains the capital city Helsinki. Travel to and from Uusimaa is prohibited without a valid reason and several hundred police officers are enforcing the restriction with the assistance of the Finnish Defence Forces.",Uusimaa region,blanket curfew - no symptoms,,,,,,,,,1.0,
1505,,Iceland,2020-03-21,,"A still stricter ban was announced for the Húnaþing vestra district, where all inhabitants have been ordered to stay at home except to buy necessities.",,blanket curfew - no symptoms,,,,,,,,,1.0,
1510,,Belgium,2020-03-17,,"On the evening of 17 March, the Prime Minister broadcast a decision to impose stricter social distancing measures from noon the following day until 5 April, with non-essential travel prohibited,",,"blanket curfew - no symptoms, domestic travel ban",,,,,,,,,1.0,
1532,,US: Pennsylvania,2020-03-28,,"Governor Tom Wolf issued a stay-at-home order for Beaver, Butler, Westmoreland, Centre, and Washington Counties","Beaver County, Butler county, Centre County, Washington County, Westmoreland County","blanket curfew - no symptoms, social distancing",,,,,,,,,1.0,
1565,,US:Colorado,2020-03-26,2020-04-11,"Govenor Jared Polis put the state of Colorado in complete lock-down, with a stay-at-home order",,blanket curfew - no symptoms,,,,,,,,,1.0,
1681,,US: Rhode Island,2020-03-24,2020-04-15,shelter-in-place order for Block Island effective March 24,Block Island,blanket curfew - no symptoms,,,,,,,,,1.0,
1688,,US: Rhode Island,2020-03-24,,"The three towns located on Aquidneck Island - Newport, Middletown, and Portsmouth - all implement shelter-in-place orders",,blanket curfew - no symptoms,,,,,,,,,1.0,
1689,,US: Rhode Island,2020-03-28,,"Governor Raimondo enacts a ""stay at home"" order for all Rhode Islanders who are not travelling to purchase food, household supplies, medicine, or gasoline, or are going for a recreational walk alone",,blanket curfew - no symptoms,,,,,,,,,1.0,
5,356,United Kingdom,2020-03-16,,"Everyone should avoid gatherings with friends and family, as well as large gatherings and crowded places, such as pubs, clubs and theatres",,"public announcement, social distancing",,,,,,,,,,1.0
24,,South Korea,2020-03-09,,"Released COVID-19 preventive strategy encourage all people to wear masks, thorough hand-sanitization and social distancing",,"personal hygiene, social distancing",,,,,,,,,,1.0
25,671,South Korea,2020-03-05,,Discourage people to participate in group and indoor activities and all workforces nationwide- work remotely ,,"remote work, social distancing",,,,,,,,,,1.0
33,657,South Korea,2020-02-29,,"Avoid activities in confined space, call for non-essential event restriction in churches ",,"religious activity limitations, social distancing",,,,,,,,,,1.0
34,656,South Korea,2020-02-29,,All Nations- maintain personal hygiene and practice social distancing until early March perhaps longer ,,"personal hygiene, social distancing",,,,,,,,,,1.0
39,646,South Korea,2020-02-25,,"Strictly maintain hand-wash and cough etiquette and maintain social distance within family, use separate towel and cutleries",,"hygiene enforcement, individual hygiene, social distancing",,,,,,,,,,1.0
40,644,South Korea,2020-02-25,,Limit outdoor activity and interstate visit and follow self-isolation protocols ,"Daegu, Gyeongbook Province",social distancing,,,,,,,,,,1.0
95,867,Israel,2020-03-11,,Gatherings of more than 100 people banned.,,social distancing,,,,,,,,,,1.0
96,866,Israel,2020-03-15,,Gatherings of more than 10 people banned. Attendees are advised to keep a distance of 2 m (6 ft 7 in) between one another.,,social distancing,,,,,,,,,,1.0
